frame,id,direction,timestamp
54,2,down,4.124341251050179
66,1,up,5.04086152906133
72,1,down,5.499121668066906
72,2,up,5.499121668066906
198,9,up,15.122584587183992
252,14,down,19.24692583823417
300,6,up,22.913006950278774
342,2,down,26.120827923317805
390,18,up,29.786909035362406
630,3,down,48.11731459558543
660,22,down,50.408615290613305
678,27,up,51.78339570763003
678,22,up,51.78339570763003
684,22,down,52.24165584663561
726,30,down,55.449476819674636
834,29,down,63.698159321774995
972,29,up,74.23814251890323
978,29,down,74.6964026579088
984,29,up,75.15466279691438
990,29,down,75.61292293591995
996,29,up,76.07118307492553
1002,29,down,76.5294432139311
1008,29,up,76.98770335293668
1014,29,down,77.44596349194227
1050,35,up,80.19552432597571
1200,45,down,91.6520278011151
1230,22,up,93.94332849614298
1254,47,up,95.77636905216528
